"species","lon","lat"
"Neovison vison",-3.66,41.69
"Neovison vison",1.62,41.77
"Neovison vison",2.1,41.5
"Neovison vison",2.34,41.78
"Neovison vison",2.33,42.23
"Neovison vison",1.74,41.59
"Neovison vison",2.21,42.22
"Neovison vison",-2.57,42.86
"Neovison vison",2.58,41.96
"Neovison vison",2.21,42.04
"Neovison vison",2.45,42.23
"Neovison vison",2.58,42.32
"Neovison vison",2.7,41.78
"Neovison vison",2.46,41.87
"Neovison vison",1.85,42.13
"Neovison vison",1.73,41.86
"Neovison vison",2.34,41.96
"Neovison vison",2.34,41.87
"Neovison vison",2.46,41.69
"Neovison vison",2.58,42.14
"Neovison vison",2.46,42.05
"Neovison vison",1.74,41.68
"Neovison vison",2.58,42.05
"Neovison vison",1.86,41.41
"Neovison vison",2.58,41.69
"Neovison vison",2.46,41.96
"Neovison vison",2.34,42.05
"Neovison vison",2.7,41.96
"Neovison vison",2.7,41.69
"Neovison vison",2.7,41.87
"Neovison vison",2.58,42.23
"Neovison vison",2.46,42.14
"Neovison vison",2.46,41.78
"Neovison vison",2.58,41.78
"Neovison vison",2.58,41.87
"Lutra lutra",-7.7,43.66
"Lutra lutra",-7.7,43.75
"Lutra lutra",-7.58,43.39
"Lutra lutra",-7.58,43.57
"Lutra lutra",-7.58,43.48
"Lutra lutra",-7.45,43.48
"Lutra lutra",-7.45,43.57
